"Index","Ensembl.ID","Gene.name"
529,"ENSG00000044524","EPHA3"
530,"ENSG00000213753","CENPBD1P1"
531,"ENSG00000197927","C2orf27A"
532,"ENSG00000221725","RNU6ATAC25P"
533,"ENSG00000251359","WWC2-AS2"
534,"ENSG00000254146","HMGB1P46"
535,"ENSG00000253346","AC109329.1"
536,"ENSG00000211452","DIO1"
537,"ENSG00000143793","C1orf35"
538,"ENSG00000134333","LDHA"
539,"ENSG00000275212","AC005858.1"
540,"ENSG00000244544","RN7SL446P"
541,"ENSG00000277250","Metazoa_SRP"
542,"ENSG00000143184","XCL1"
543,"ENSG00000266392","MIR4740"
544,"ENSG00000261798","AL033527.3"
545,"ENSG00000114062","UBE3A"
546,"ENSG00000119772","DNMT3A"
547,"ENSG00000213509","PPIAP16"
548,"ENSG00000271821","AL662844.3"
549,"ENSG00000229642","AC087857.1"
550,"ENSG00000138735","PDE5A"
551,"ENSG00000251838","SNORA31"
552,"ENSG00000265727","RN7SL648P"
553,"ENSG00000275491","LINC01730"
554,"ENSG00000252130","RNU6-1045P"
555,"ENSG00000279013","AC110774.1"
556,"ENSG00000131845","ZNF304"
557,"ENSG00000280186","AL359258.3"
558,"ENSG00000259631","AC104316.2"
559,"ENSG00000182220","ATP6AP2"
560,"ENSG00000241757","RN7SL714P"
561,"ENSG00000253153","AP001207.1"
562,"ENSG00000166896","ATP23"
563,"ENSG00000167676","PLIN4"
564,"ENSG00000280007","AC008079.2"
565,"ENSG00000232177","MTND4P24"
566,"ENSG00000275944","AC244100.3"
567,"ENSG00000201683","Y_RNA"
568,"ENSG00000185839","AL035411.1"
569,"ENSG00000233290","AC093580.1"
570,"ENSG00000223608","DSCR4-IT1"
571,"ENSG00000231261","HMGN2P10"
572,"ENSG00000228696","ARL17B"
573,"ENSG00000229456","RLIMP1"
575,"ENSG00000213187","COPS5P1"
576,"ENSG00000207176","Y_RNA"
577,"ENSG00000199077","MIR129-2"
578,"ENSG00000102007","PLP2"
